1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
7	0.00
8	0.00
9	0.00
10	0.00
11	0.00
12	0.00
13	0.00
14	0.00
15	1.00
16	0.00
17	0.00
18	1.00
19	1.00
20	1.00
21	0.00
22	0.00
23	0.00
24	0.00
25	0.00
26	0.00
27	1.00
28	0.00
29	0.00
30	0.00
31	0.00
32	0.00
33	0.00
34	1.00
35	0.00
36	0.00
37	0.00
38	0.00
39	0.00
40	0.00
41	0.00
42	0.00
43	0.00
44	0.00
45	0.00
46	0.00
47	0.00
48	0.00
49	0.00
50	0.00
51	0.00
52	0.00
53	0.00
54	0.00
55	0.00
56	0.00
57	0.00
58	0.00
59	0.00
60	0.00
61	0.00
62	0.00
63	0.00
64	0.00
65	0.00
66	0.00
67	0.00
68	1.00
69	0.00
70	0.00
71	0.00
72	0.00
73	0.00
74	0.00
75	1.00
76	0.00
77	0.00
78	0.00
79	0.00
80	0.00
81	0.00
82	0.00
83	0.00
84	0.00
85	0.00
86	0.00
87	0.00
88	0.00
89	0.00
90	0.00
91	0.00
92	0.00
93	0.00
94	0.00
95	0.00
96	0.00
97	0.00
98	0.00
99	0.00
100	0.00
101	0.00
102	0.00
103	0.00
104	0.00
105	0.00
106	0.00
107	0.00
108	0.00
109	0.00
110	0.00
111	0.00
112	0.00
113	0.00
114	0.00
115	0.00
116	1.00
117	1.00
118	2.00
119	1.00
120	0.00
121	1.00
122	2.00
123	4.00
124	4.00
125	2.00
126	4.00
127	3.00
128	5.00
129	5.00
130	2.00
131	3.00
132	4.00
133	1.00
134	3.00
135	0.00
136	1.00
137	0.00
138	0.00
139	0.00
140	0.00
141	1.00
142	0.00
143	0.00
144	1.00
145	0.00
146	0.00
147	0.00
148	0.00
149	0.00
150	0.00
151	0.00
152	0.00
153	0.00
154	0.00
155	0.00
156	0.00
157	0.00
158	0.00
159	0.00
160	0.00
161	0.00
162	0.00
163	0.00
164	0.00
165	0.00
166	0.00
167	0.00
168	0.00
169	0.00
170	0.00
171	0.00
172	0.00
173	0.00
174	0.00
175	0.00
176	0.00
177	2.00
178	3.00
179	1.00
